,商家编码,采购价,品类,销售价,商品图片
0,489517460012,83.0,减肥品,93.0,http://www.china-puritan.com/d/file/product/jkfm/2013-07-15/492095de91cb1e561a6c3cd9259ce540.jpg
1,489700682471,75.0,保健品,85.0,http://www.china-puritan.com/d/file/product/jkfm/2013-07-15/492095de91cb1e561a6c3cd9259ce540.jpg
2,489700682540,75.0,保健品,85.0,http://www.china-puritan.com/d/file/product/jkfm/2013-07-15/492095de91cb1e561a6c3cd9259ce540.jpg
3,489517460210,80.0,减肥品,90.0,http://www.china-puritan.com/d/file/product/jkfm/2013-07-15/492095de91cb1e561a6c3cd9259ce540.jpg
4,489517460188,75.0,保健品,85.0,http://www.china-puritan.com/d/file/product/jkfm/2013-07-15/492095de91cb1e561a6c3cd9259ce540.jpg
5,489517460185,75.0,保健品,85.0,http://www.china-puritan.com/d/file/product/jkfm/2013-07-15/492095de91cb1e561a6c3cd9259ce540.jpg
6,940050100111,147.2,保健品,157.2,http://www.china-puritan.com/d/file/product/jkfm/2013-07-15/492095de91cb1e561a6c3cd9259ce540.jpg
7,940050100103,110.0,保健品,120.0,http://www.china-puritan.com/d/file/product/jkfm/2013-07-15/492095de91cb1e561a6c3cd9259ce540.jpg
8,490804926704,72.0,美妆品,82.0,http://www.china-puritan.com/d/file/product/jkfm/2013-07-15/492095de91cb1e561a6c3cd9259ce540.jpg
9,ecms-tz-00103,144.0,美妆品,154.0,http://www.china-puritan.com/d/file/product/jkfm/2013-07-15/492095de91cb1e561a6c3cd9259ce540.jpg
10,490804917306,83.0,美妆品,93.0,http://www.china-puritan.com/d/file/product/jkfm/2013-07-15/492095de91cb1e561a6c3cd9259ce540.jpg
11,490804908951,52.0,保健品,62.0,http://www.china-puritan.com/d/file/product/jkfm/2013-07-15/492095de91cb1e561a6c3cd9259ce540.jpg
12,490804934733,99.0,美妆品,109.0,http://www.china-puritan.com/d/file/product/jkfm/2013-07-15/492095de91cb1e561a6c3cd9259ce540.jpg
13,490804914233,115.0,减肥品,125.0,http://www.china-puritan.com/d/file/product/jkfm/2013-07-15/492095de91cb1e561a6c3cd9259ce540.jpg
14,490804928347,25.0,美妆品,35.0,http://www.china-puritan.com/d/file/product/jkfm/2013-07-15/492095de91cb1e561a6c3cd9259ce540.jpg
15,490804934732,131.0,美妆品,141.0,http://www.china-puritan.com/d/file/product/jkfm/2013-07-15/492095de91cb1e561a6c3cd9259ce540.jpg
16,ecms-tz-00103,262.0,美妆品,272.0,http://www.china-puritan.com/d/file/product/jkfm/2013-07-15/492095de91cb1e561a6c3cd9259ce540.jpg
17,498704921261,130.56,保健品,140.56,http://www.china-puritan.com/d/file/product/jkfm/2013-07-15/492095de91cb1e561a6c3cd9259ce540.jpg
18,498704921291,134.4,保健品,144.4,http://www.china-puritan.com/d/file/product/jkfm/2013-07-15/492095de91cb1e561a6c3cd9259ce540.jpg
19,498704931842,134.4,保健品,144.4,http://www.china-puritan.com/d/file/product/jkfm/2013-07-15/492095de91cb1e561a6c3cd9259ce540.jpg
20,498704921162,132.48,保健品,142.48,http://www.china-puritan.com/d/file/product/jkfm/2013-07-15/492095de91cb1e561a6c3cd9259ce540.jpg
21,498704921251,134.4,保健品,144.4,http://www.china-puritan.com/d/file/product/jkfm/2013-07-15/492095de91cb1e561a6c3cd9259ce540.jpg
22,493309403145,105.4,减肥品,115.4,http://www.china-puritan.com/d/file/product/jkfm/2013-07-15/492095de91cb1e561a6c3cd9259ce540.jpg
23,493309403134,58.0,减肥品,68.0,http://www.china-puritan.com/d/file/product/jkfm/2013-07-15/492095de91cb1e561a6c3cd9259ce540.jpg
24,02507727814,99.2,保健品,109.2,http://www.china-puritan.com/d/file/product/jkfm/2013-07-15/492095de91cb1e561a6c3cd9259ce540.jpg
25,ecms-tz-00104,198.4,保健品,208.4,http://www.china-puritan.com/d/file/product/jkfm/2013-07-15/492095de91cb1e561a6c3cd9259ce540.jpg
26,02507718480,94.0,保健品,104.0,http://www.china-puritan.com/d/file/product/jkfm/2013-07-15/492095de91cb1e561a6c3cd9259ce540.jpg
27,07431214174,98.0,保健品,108.0,http://www.china-puritan.com/d/file/product/jkfm/2013-07-15/492095de91cb1e561a6c3cd9259ce540.jpg
28,ecms-tz-00104,217.6,保健品,227.6,http://www.china-puritan.com/d/file/product/jkfm/2013-07-15/492095de91cb1e561a6c3cd9259ce540.jpg
29,02507717896,108.8,保健品,118.8,http://www.china-puritan.com/d/file/product/jkfm/2013-07-15/492095de91cb1e561a6c3cd9259ce540.jpg
30,07431214904,67.2,保健品,77.2,http://www.china-puritan.com/d/file/product/jkfm/2013-07-15/492095de91cb1e561a6c3cd9259ce540.jpg
31,ecms-tz-00104,134.4,保健品,144.4,http://www.china-puritan.com/d/file/product/jkfm/2013-07-15/492095de91cb1e561a6c3cd9259ce540.jpg
32,07431213832,34.0,保健品,44.0,http://www.china-puritan.com/d/file/product/jkfm/2013-07-15/492095de91cb1e561a6c3cd9259ce540.jpg
33,ecms-tz-00104,68.0,保健品,78.0,http://www.china-puritan.com/d/file/product/jkfm/2013-07-15/492095de91cb1e561a6c3cd9259ce540.jpg
34,456026429341,122.0,减肥品,132.0,http://www.china-puritan.com/d/file/product/jkfm/2013-07-15/492095de91cb1e561a6c3cd9259ce540.jpg
35,456026429033,94.52,减肥品,104.52,http://www.china-puritan.com/d/file/product/jkfm/2013-07-15/492095de91cb1e561a6c3cd9259ce540.jpg
36,456026429352,161.0,减肥品,171.0,http://www.china-puritan.com/d/file/product/jkfm/2013-07-15/492095de91cb1e561a6c3cd9259ce540.jpg
37,456026429338,122.0,减肥品,132.0,http://www.china-puritan.com/d/file/product/jkfm/2013-07-15/492095de91cb1e561a6c3cd9259ce540.jpg
38,931177058999,69.27,保健品,79.27,http://www.china-puritan.com/d/file/product/jkfm/2013-07-15/492095de91cb1e561a6c3cd9259ce540.jpg
39,931177059250,68.25,保健品,78.25,http://www.china-puritan.com/d/file/product/jkfm/2013-07-15/492095de91cb1e561a6c3cd9259ce540.jpg
40,931177059746,92.66,保健品,102.66,http://www.china-puritan.com/d/file/product/jkfm/2013-07-15/492095de91cb1e561a6c3cd9259ce540.jpg
41,931177058821,71.7,保健品,81.7,http://www.china-puritan.com/d/file/product/jkfm/2013-07-15/492095de91cb1e561a6c3cd9259ce540.jpg
42,931177059169,48.35,保健品,58.35,http://www.china-puritan.com/d/file/product/jkfm/2013-07-15/492095de91cb1e561a6c3cd9259ce540.jpg
43,931177059731,87.27,保健品,97.27,http://www.china-puritan.com/d/file/product/jkfm/2013-07-15/492095de91cb1e561a6c3cd9259ce540.jpg
44,931177058824,76.0,保健品,86.0,http://www.china-puritan.com/d/file/product/jkfm/2013-07-15/492095de91cb1e561a6c3cd9259ce540.jpg
45,ecms-tz-00106,244.0,减肥品,254.0,http://www.china-puritan.com/d/file/product/jkfm/2013-07-15/492095de91cb1e561a6c3cd9259ce540.jpg
46,ecms-tz-00106,198.0,保健品,208.0,http://www.china-puritan.com/d/file/product/jkfm/2013-07-15/492095de91cb1e561a6c3cd9259ce540.jpg
47,ecms-tz-00106,138.54,保健品,148.54,http://www.china-puritan.com/d/file/product/jkfm/2013-07-15/492095de91cb1e561a6c3cd9259ce540.jpg
48,ecms-tz-00107,104.0,保健品,114.0,http://www.china-puritan.com/d/file/product/jkfm/2013-07-15/492095de91cb1e561a6c3cd9259ce540.jpg
49,ecms-tz-00107,75.0,保健品,85.0,http://www.china-puritan.com/d/file/product/jkfm/2013-07-15/492095de91cb1e561a6c3cd9259ce540.jpg
50,ecms-tz-00107,230.0,减肥品,240.0,http://www.china-puritan.com/d/file/product/jkfm/2013-07-15/492095de91cb1e561a6c3cd9259ce540.jpg
